"ID";"Enabled";"Category";"Name";"Price";"Tax rule ID";"On sale";"Quantity";"Long desc";"Images URL"
1;1;3;LAMPA STOJĄCA podłogowa LED SWAN 6,5W czarna POLUX;161.25;1;0;10;Lampka podłogowa SWAN to minimalistyczna i nowoczesna lampka LED. Pozwala ona na dowolne regulowanie strumienia światła dzięki elastycznemu ramieniu, które można wyciągnąć w niemal dowolny kształt. Dostępna tutaj lampa stojąca LED pozwala także na regulowanie wysokości i kąta nachylenia strumienia światła, dzięki czemu dopasujesz światło do każdej sytuacji. Lampa LED emituje ciepłe, białe światło, które wprowadza w pomieszczeniach przyjemną atmosferę.Ta lampka podłogowa to praktyczny dodatek do każdego pomieszczenia, który oprócz emitowania przyjemnego światła jest znakomitym dopełnieniem nowoczesnego wnętrza.SPECYFIKACJA TECHNICZNA:Produkt wykonany został z wysokiej jakości materiałów, zapewniających jego długotrwałą żywotność i satysfakcję z zakupu. Kupując u nas otrzymujesz nowy, oryginalnie zapakowany produkt, objęty 2-letnią gwarancją producenta. Tylko zakup markowych produktów gwarantuje wysoką jakość, energooszczędność, bezpieczeństwo użytkowania oraz pewność, że informacje umieszczone na opakowaniach będą zgodne z prawdą.;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/l/a/lampka-stojaca-polux-led-swan-czarny-001.jpg
2;1;3;LAMPA STOJĄCA podłogowa LED SWAN 6,5W biała POLUX;161.25;1;0;10;Lampka podłogowa SWAN to minimalistyczna i nowoczesna lampka LED. Pozwala ona na dowolne regulowanie strumienia światła dzięki elastycznemu ramieniu, które można wyciągnąć w niemal dowolny kształt. Dostępna tutaj lampa stojąca LED pozwala także na regulowanie wysokości i kąta nachylenia strumienia światła, dzięki czemu dopasujesz światło do każdej sytuacji. Lampa LED emituje ciepłe, białe światło, które wprowadza w pomieszczeniach przyjemną atmosferę.Ta lampka podłogowa to praktyczny dodatek do każdego pomieszczenia, który oprócz emitowania przyjemnego światła jest znakomitym dopełnieniem nowoczesnego wnętrza.SPECYFIKACJA TECHNICZNA:Produkt wykonany został z wysokiej jakości materiałów, zapewniających jego długotrwałą żywotność i satysfakcję z zakupu. Kupując u nas otrzymujesz nowy, oryginalnie zapakowany produkt, objęty 2-letnią gwarancją producenta. Tylko zakup markowych produktów gwarantuje wysoką jakość, energooszczędność, bezpieczeństwo użytkowania oraz pewność, że informacje umieszczone na opakowaniach będą zgodne z prawdą.;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/l/a/lampka-stojaca-polux-led-swan-001.jpg
3;1;3;LAMPA STOJĄCA Podłogowa Stal VINTAGE 1906 PIPE FLOOR Czarna LEDVANCE ;222.49;1;0;10;Lampa podłogowa PIPE została zaprojektowana zgodnie ze współczesnymi trendami projektowania wnętrz. Styl Vintage to niezwykle prosty i piękny wygląd lampy stojącej sprawdzi się w większości nowoczesnych wnętrz.Do lampy pasować będą żarówki z trzonkiem E27. Niezwykła prostota wykonania lampy podłogowej sprawia, że pięknie prezentuje się ona w każdym wnętrzu. Lampa podłogowa ma bardzo szeroki obszar zastosowań, swoje idealne miejsce znajdzie w salonie, sypialni, jadalni, pokojach dziennych jak również w restauracjach czy barach, poprzez piękny wygląd lampy stojącej w połączeniu z żarówką pozwolą się dobrze poczuć i zrelaksować. Lampa stojąca to nowoczesne rozwiązanie idące wraz z duchem czasu. Piękny styl staroświecki Vintage widoczny w lampie podłogowej zachwyca i pięknie wpasowuje się we współczesne wnętrza.Źródła światła nie są dostarczane w zestawie!OBSZAR ZASTOSOWAŃ:CECHY, KTÓRE POSIADA LAMPA STOJĄCA:KORZYŚCI ZE STOSOWANIA PRODUKTU:DODATKOWE INFORMACJE:;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/4/0/4058075217089-lampa-podlogowa-stojaca-vintage-pipe-czarna-ledvance_3_.png
4;1;3;Lampa podłogowa Vejle F351 POLUX ;273.64;1;0;10;SZUKASZ STYLOWEGO I NASTROJOWEGO OŚWIETLENIA DO SWOJEJ SYPIALNI LUB SALONU? POSTAW NA STOJĄCĄ LAMPĘ PODŁOGOWĄ Z SERII VEJLE!Stojąca lampa podłogowa VEJLE ma niezwykle ozdobną, elegancką formę. Jej czarna, metalowa konstrukcja ozdobiona została kroplami szkła. Wspaniale prezentuje się we wnętrzach nowoczesnych, gdzie pojawiają się detale w kolorze czarnym. Może być ciekawym przełamaniem surowego wnętrza w stylu loftowym. Będzie pasować również do aranżacji inspirowanych stylem retro oraz glamur.  Stworzona została z dużą dbałością o szczegóły z wysokiej jakości stali i pięknie oszlifowanego szkła, które w dzień pięknie się mieni. Wieczorem natomiast lampa pozwala uzyskać niezwykły efekt rozproszenia światła. Prezentowana lampa sprawdzi się przede wszystkim w sypialni lub salonie jako dodatkowe źródło światła, które pozwoli nam zbudować przyjemną atmosferę sprzyjającą intymnych chwilom we dwoje, a także relaksowi przy książce czy telewizji. ODMIEŃ SWOJĄ SYPIALNIĘ DZIĘKI LAMPIE Z SERII VEJLE!  *WYSOKA JAKOŚĆ*WSPÓŁPRACA Z ŻARÓWKAMI NA GWINT E27*EFEKTOWNA OPRAWA*WYMIARY LAMPY  GDZIE NAJLEPIEJ SPRAWDZI SIĘ PODŁOGOWA LAMPA VEJLE?   Prezentowana lampa doskonale prezentuje się w połączeniu z innymi elementami oświetlenia z serii VEJLE. Z ich wykorzystaniem łatwo stworzysz stylową aranżację oświetlenia w całym domu.  Wygląd Twojego mieszkania będzie UNIKATOWY, dzięki TEJ lampie!Produkt wykonany został z wysokiej jakości materiałów, zapewniających jego długotrwałą żywotność i satysfakcję z zakupu. Kupując u nas, otrzymujesz nowy, oryginalnie zapakowany produkt, objęty 2-letnią gwarancją producenta. Tylko zakup markowych produktów gwarantuje wysoką jakość, energooszczędność, bezpieczeństwo użytkowania oraz pewność, że informacje umieszczone na opakowaniach będą zgodne z prawdą.;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/l/a/lampa_vejle_stoj_ca_pod_ogowa_g_wne.jpg
5;1;3;Lampa podłogowa stojąca ROMEO 6xG9 160cm - Polux;587.84;1;0;10;SZUKASZ NASTROJOWEGO OŚWIETLENIA DO SWOJEGO SALONU ALBO SYPIALNI? Postaw na stojącą lampę ROMEO!Lampa ROMEO ma ekskluzywny charakter. Stworzona została z wysokiej jakości chromowanego metalu oraz grubego szkła, dzięki czemu prezentuje się niezwykle elegancko. W dzień pięknie mieni się srebrną, lustrzaną powierzchnią, wieczorem natomiast pozwala uzyskać niezwykły efekt rozproszenia światła przez szklane zawieszki znajdujace sie w jej wnętrzu. Wspaniale wygląda zarówno we wnętrzach nowoczesnych, jak i tych bardziej klasycznych. Niezaleznie od tego, czy zedcydujemy się zastosować ją w salnonie, korytarzu, jadali, czy sypialni, stanie się interesującą ozdobą danego wnętzra, zaróno w dzień, jak i wieczorem.  Nie tylko doda klasy i reprezentacyjnego charakteru każdemu wnętrzu, ale także pomoże nam uzyskać przyjemną kameralną atmosferę, sprzyjającą relaksowi podczas wieczornego wypoczynku, czy spotkania z przyjaciółmi.  ODMIEŃ SWOJE WNĘTRZE DZIĘKI LAMPIE Z SERII ROMEO  *WYSOKA JAKOŚĆ *WPÓŁPRACA Z ŻARÓWKAMI NA GWINT G9 *EFEKTOWANA OPRAWA    *WYMIAR LAMPY  *ENERGOOSZCZĘDNOŚĆ  GDZIE LAMPA ROMEO SPRAWDZI SIĘ NAJLEPIEJ?   Wygląd Twojego mieszkania będzie UNIKATOWY, dzięki TEJ lampie!Produkt wykonany został z wysokiej jakości materiałów, zapewniających jego długotrwałą żywotność i satysfakcję z zakupu. Kupując u nas, otrzymujesz nowy, oryginalnie zapakowany produkt, objęty 2-letnią gwarancją producenta. Tylko zakup markowych produktów gwarantuje wysoką jakość, energooszczędność, bezpieczeństwo użytkowania oraz pewność, że informacje umieszczone na opakowaniach będą zgodne z prawdą.;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/5/9/5901508310606_lampa_pod_ogowa_romeo_6g9_-002.jpg
6;1;3;Lampa stojąca podłogowa LED MONACO 4,2W biała POLUX;102.62;1;0;10;Lampka podłogowa MONACO to minimalistyczna i nowoczesna lampka. Pozwala ona na dowolne regulowanie strumienia światła dzięki elastycznemu ramieniu, które można wyciągnąć w niemal dowolny kształt. Dostępna tutaj lampa stojąca LED pozwala także na regulowanie wysokości, dzięki czemu dopasujesz światło do każdej sytuacji. Lampa LED emituje ciepłe, białe światło, które wprowadza w pomieszczeniach przyjemną atmosferę.Ta lampka podłogowa to praktyczny dodatek do każdego pomieszczenia, który oprócz emitowania przyjemnego światła jest znakomitym dopełnieniem nowoczesnego wnętrza.SPECYFIKACJA TECHNICZNA:Produkt wykonany został z wysokiej jakości materiałów, zapewniających jego długotrwałą żywotność i satysfakcję z zakupu. Kupując u nas otrzymujesz nowy, oryginalnie zapakowany produkt, objęty 2-letnią gwarancją producenta. Tylko zakup markowych produktów gwarantuje wysoką jakość, energooszczędność, bezpieczeństwo użytkowania oraz pewność, że informacje umieszczone na opakowaniach będą zgodne z prawdą.;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/l/a/lampka-monaco-polux-stojaca-001_2.jpg
7;1;3;Lampa stojąca podłogowa LED MONACO 4,2W czarna POLUX;102.62;1;0;10;Lampka podłogowa MONACO to minimalistyczna i nowoczesna lampka. Pozwala ona na dowolne regulowanie strumienia światła dzięki elastycznemu ramieniu, które można wyciągnąć w niemal dowolny kształt. Dostępna tutaj lampa stojąca LED pozwala także na regulowanie wysokości, dzięki czemu dopasujesz światło do każdej sytuacji. Lampa LED emituje ciepłe, białe światło, które wprowadza w pomieszczeniach przyjemną atmosferę.Ta lampka podłogowa to praktyczny dodatek do każdego pomieszczenia, który oprócz emitowania przyjemnego światła jest znakomitym dopełnieniem nowoczesnego wnętrza.SPECYFIKACJA TECHNICZNA:Produkt wykonany został z wysokiej jakości materiałów, zapewniających jego długotrwałą żywotność i satysfakcję z zakupu. Kupując u nas otrzymujesz nowy, oryginalnie zapakowany produkt, objęty 2-letnią gwarancją producenta. Tylko zakup markowych produktów gwarantuje wysoką jakość, energooszczędność, bezpieczeństwo użytkowania oraz pewność, że informacje umieszczone na opakowaniach będą zgodne z prawdą.;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/l/a/lampka-monaco-polux-stojaca-czarna-001_2.jpg
8;1;3;Nowoczesna lampa stojąca podłogowa czarna do salonu figury geometryczne 3 x E27;320.00;1;0;10;Lampa podłogowa geometryczna o niebanalnym, nowoczesnym kształcie jest przystosowana do pracy z trzema żarówkami o trzonku E27. Nowoczesny wygląd lampy stojącej z niesymetrycznymi figurami geometrycznymi będzie ozdobą każdego nowoczesnego wnętrza. Dzięki temu, że lampa nie posiada kloszy pięknie prezentują się w niej żarówki. Wysoka jakość wykonania lamy podłogowej jest gwarancją tego, że będzie ona pięknie wyglądać i oświetlać mieszkanie przez długi czas. Lampa polecana jest w szczególności do salonu, choć równie dobrze sprawdzi się w jadalni czy pokoju gościnnym. Lampa zapewni przytulną i przyjemną atmosferę w każdym wnętrzu, a dzięki temu, że można w niej zamontować trzy żarówki, można być pewnym, że doskonale oświetli ona miejsce, w którym zostanie postawiona. Czarna lampa geometryczna, stojąca zaprojektowana z niezwykłą dbałością o szczegóły nada charakteru Twojemu salonowi i oświetli go pięknym blaskiem, a spędzanie w nim czasu będzie czystą przyjemnością.Lampa stojąca, geometryczna wykonana została z wysokiej jakości materiałów, zapewniających jego długotrwałą żywotność i satysfakcję z zakupu. Kupując u nas otrzymujesz nowy, oryginalnie zapakowany produkt, objęty 2-letnią gwarancją producenta. Tylko zakup markowych produktów gwarantuje wysoką jakość, energooszczędność, bezpieczeństwo użytkowania oraz pewność, że informacje umieszczone na opakowaniach będą zgodne z prawdą.;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/l/a/lampa-stojaca-podlogowa-czarna-figury-geometryczne-001.jpg
9;1;3;Klasyczna lampa podłogowa stojąca w kwiaty do sypialni abażur z tkaniny 1 x E27;340.00;1;0;10;Lampa podłogowa posiadająca abażur o pięknym, kwiatowym wzorze to wysokiej jakości lampa wykonana w zgodzie z najnowszymi standardami posiadająca gniazdo na żarówkę LED o trzonku E27. Lampa stojąca będzie się pięknie prezentować w sypialni czy w salonie, gdzie postawiona obok kanapy świetnie sprawdzi się jako lampa do czytania. Klosz wykonany z tkaniny w różowe kwiaty nada każdemu wnętrzu romantycznej aury, a złote elementy nadadzą mu elegancji. Z tą lampą podłogową w kwiaty każde pomieszczenie nabierze szczególnego charakteru. Z pewnością sypialnia w której postawi się tą lampę będzie bardziej przytulna, a przyjemne światło wydobywające się z żarówki wprowadzi czarujący nastrój i ciekawy efekt świetlny.  Produkt wykonany został z wysokiej jakości materiałów, zapewniających jego długotrwałą żywotność i satysfakcję z zakupu. Kupując u nas otrzymujesz nowy, oryginalnie zapakowany produkt, objęty 2-letnią gwarancją producenta. Tylko zakup markowych produktów gwarantuje wysoką jakość, energooszczędność, bezpieczeństwo użytkowania oraz pewność, że informacje umieszczone na opakowaniach będą zgodne z prawdą.;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/l/a/lampa-pod_ogowa-stojaca-1x-e27-klasyczna-biala-w-kwiaty-001.jpg
10;1;3;Lampa stojąca podłogowa MODERN F-306C E27 czarna Polux;283.42;1;0;10;SZUKASZ NOWOCZESNEGO  I NASTROJOWEGO OŚWIETLENIA? Postaw na lampę stojącą z serii MODERN!Stojąca lampa podłogowa LED marki Polux z kolekcji Modern w kolorze czarnym świetnie sprawdza się jako dodatkowe źródło światła w salonach i sypialniach. Pasuje do aranżacji utrzymanych w stylu modernistycznym i loftowym. Dzięki możliwości ustawienia padania promieni światła pod dowolnym kątem pozwala idealnie wybraną przez siebie przestrzeń. Złote wnętrze sprawia, że świeci przyjemnym, nastrojowym światłem, wprowadzając przyjemną intymną atmosferę w danym pomieszczeniu. Do tego klasycznego reflektora będzie pasować każda żarówka z trzonkiem E27 o maksymalnej mocy 20W LED, którą także można zamówić na naszej stronie Internetowej.ODMIEŃ SWOJE WNĘTRZE DZIĘKI KINKIETOM MODERN!  *WYSOKA JAKOŚĆ *GWINT E27 *EFEKTOWNA OPRAWA    *WYMIAR LAMPY *REGULACJA KĄTA PADANIA ŚWIATŁA   GDZIE MOŻESZ WYKORZYSTAĆ LAMPĘ?  Wygląd Twojego mieszkania będzie UNIKATOWY, dzięki TEJ lampie!Produkt wykonany został z wysokiej jakości materiałów, zapewniających jego długotrwałą żywotność i satysfakcję z zakupu. Kupując u nas, otrzymujesz nowy, oryginalnie zapakowany produkt, objęty 2-letnią gwarancją producenta. Tylko zakup markowych produktów gwarantuje wysoką jakość, energooszczędność, bezpieczeństwo użytkowania oraz pewność, że informacje umieszczone na opakowaniach będą zgodne z prawdą.;https://leddo.pl/media/catalog/product/cache/07dd3f8478790f89e7d25033ddff57ef/l/a/lampa_podlogowa_modern_b_308016_f1_hires_1.jpg
